 	 X 	 	 3.00 	 4 	 3 	 3 	 3 	 12 	 1 	 1.50 	 12.00
X 			1.60 	5 	7 	2 	4 	11 	0 	2.20 	8.80
X 			0.92 	4.1 	1 	1 	3 	11 	0 	0.92 	10.15
X 			0.80 	5 	2 	1 	7 	12 	0 	1.80 	9.60
	X 		4.00 	3 	4 	3 	9 	9 	0 	4.33 	12.00
X 			0.00 	4 	1 	0 	4 	9 	0 	1.25 	9.00
	X 		2.67 	3 	5 	2 	1 	8 	2 	2.00 	10.67
X 			0.00 	3 	1 	0 	1 	5 	0 	0.67 	6.67
X 			2.00 	4 	6 	2 	3 	10 	0 	2.25 	10.00
	X 		5.00 	4 	7 	5 	1 	8 	2 	2.00 	8.00
	X 		8.00 	4 	8 	8 	5 	6 	1 	3.25 	6.00
	X 		2.00 	4 	3 	2 	5 	6 	0 	2.00 	6.00
X 			3.00 	4 	3 	3 	6 	6 	1 	2.25 	6.00
